支付者UIN,使用者UIN,操作者UIN,产品名称,子产品名称,计费模式,交易类型,开始使用时间,结束使用时间,资源ID,实例名称,实例类型,配置描述,项目名称,地域,可用区,原价(元),预留实例抵扣原价(元),节省计划抵扣原价(元),折扣率,优惠后总价(元),优惠券支付(元),赠送金支付(元),分成金支付(元),现金支付(元),扩展字段1,扩展字段2,扩展字段3,扩展字段4,扩展字段5,产品编码,子产品编码,标签键:product
"100011240897	","100011240897	","100031406743	","云端 IDE","云端 IDE 标准版","按量计费","按量计费小时结","2024-04-10 11:59:45","2024-04-10 11:59:59","aaaokz","","-","标准版套餐: 1 分钟","默认项目","其他地区（其他）","不分地域","0.00000000","0.00000000","0.00000000","1.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","","","","","","p_012054","sp_012054_standard","-"
"100011240897	","100011240897	","100031406743	","云端 IDE","云端 IDE 标准版","按量计费","按量计费小时结","2024-04-10 11:39:45","2024-04-10 12:02:56","aaaokz","","-","标准版套餐: 1 分钟","默认项目","其他地区（其他）","不分地域","0.19800000","0.00000000","0.00000000","0.71660500","0.14188779","0.00000000","0.00000000","0.00000000","0.14188779","","","","","","p_012054","sp_012054_standard","-"
"100011240897	","100011240897	","100031406743	","云端 IDE","云端 IDE 标准版","按量计费","按量计费小时结","2024-04-23 17:48:59","2024-04-23 18:06:10","aaauxn","","-","标准版套餐: 1 分钟","默认项目","其他地区（其他）","不分地域","0.15300000","0.00000000","0.00000000","0.71660500","0.10964057","0.00000000","0.10964057","0.00000000","0.00000000","","","","","","p_012054","sp_012054_standard","-"
"100011240897	","100011240897	","100031406743	","云端 IDE","云端 IDE 标准版","按量计费","按量计费小时结","2024-04-15 11:20:42","2024-04-15 14:26:58","aaoblb","","-","标准版套餐: 1 分钟","默认项目","其他地区（其他）","不分地域","0.58500000","0.00000000","0.00000000","0.71660500","0.41921394","0.00000000","0.00000000","0.00000000","0.41921394","","","","","","p_012054","sp_012054_standard","-"
"100011240897	","100011240897	","100031406743	","云端 IDE","云端 IDE 标准版","按量计费","按量计费小时结","2024-04-01 14:59:24","2024-04-01 15:09:55","aazvvq","","-","标准版套餐: 1 分钟","默认项目","其他地区（其他）","不分地域","0.00000000","0.00000000","0.00000000","1.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","","","","","","p_012054","sp_012054_standard","-"
"100011240897	","100011240897	","100031406743	","云端 IDE","云端 IDE 标准版","按量计费","按量计费小时结","2024-04-01 14:11:05","2024-04-01 15:09:24","aazvvq","","-","标准版套餐: 1 分钟","默认项目","其他地区（其他）","不分地域","0.49500000","0.00000000","0.00000000","0.71660500","0.35471948","0.00000000","0.00000000","0.00000000","0.35471948","","","","","","p_012054","sp_012054_standard","-"
"100011240897	","100011240897	","100031406743	","云端 IDE","云端 IDE 标准版","按量计费","按量计费小时结","2024-04-14 01:54:13","2024-04-14 01:54:53","abnlrh","","-","标准版套餐: 1 分钟","默认项目","其他地区（其他）","不分地域","0.00000000","0.00000000","0.00000000","1.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","","","","","","p_012054","sp_012054_standard","-"
"100011240897	","100011240897	","100031406743	","云端 IDE","云端 IDE 标准版","按量计费","按量计费小时结","2024-04-14 01:34:13","2024-04-14 01:54:13","abnlrh","","-","标准版套餐: 1 分钟","默认项目","其他地区（其他）","不分地域","0.18000000","0.00000000","0.00000000","0.71660500","0.12898890","0.00000000","0.00000000","0.00000000","0.12898890","","","","","","p_012054","sp_012054_standard","-"
"100011240897	","100011240897	","100031406743	","云端 IDE","云端 IDE 标准版","按量计费","按量计费小时结","2024-04-22 18:14:42","2024-04-22 18:15:32","abplrh","","-","标准版套餐: 1 分钟","默认项目","其他地区（其他）","不分地域","0.00000000","0.00000000","0.00000000","1.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","","","","","","p_012054","sp_012054_standard","-"
"100011240897	","100011240897	","100031406743	","云端 IDE","云端 IDE 标准版","按量计费","按量计费小时结","2024-04-22 17:24:42","2024-04-22 18:14:42","abplrh","","-","标准版套餐: 1 分钟","默认项目","其他地区（其他）","不分地域","0.44100000","0.00000000","0.00000000","0.71660500","0.31602281","0.00000000","0.31602281","0.00000000","0.00000000","","","","","","p_012054","sp_012054_standard","-"
